venue,total
"Eden Gardens",77
"Wankhede Stadium",72
"M Chinnaswamy Stadium",62
"Feroz Shah Kotla",59
"Rajiv Gandhi International Stadium, Uppal",48
"Sawai Mansingh Stadium",47
"MA Chidambaram Stadium, Chepauk",47
"Wankhede Stadium, Mumbai",45
"Dubai International Cricket Stadium",43
"Punjab Cricket Association Stadium, Mohali",35
"Sharjah Cricket Stadium",28
"Sheikh Zayed Stadium",27
"MA Chidambaram Stadium, Chepauk, Chennai",27
"Narendra Modi Stadium, Ahmedabad",24
"Maharashtra Cricket Association Stadium",22
"Dr DY Patil Sports Academy, Mumbai",20
"Dr DY Patil Sports Academy",17
"Brabourne Stadium, Mumbai",17
"Subrata Roy Sahara Stadium",16
"Eden Gardens, Kolkata",16
"Arun Jaitley Stadium, Delhi",16
Kingsmead,15
"Rajiv Gandhi International Stadium",15
"M Chinnaswamy Stadium, Bengaluru",14
"M.Chinnaswamy Stadium",14
"Arun Jaitley Stadium",13
"Maharashtra Cricket Association Stadium, Pune",13
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",13
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",13
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",13
"SuperSport Park",12
"Punjab Cricket Association IS Bindra Stadium, Mohali",11
"Sardar Patel Stadium, Motera",11
"Punjab Cricket Association IS Bindra Stadium",10
"Brabourne Stadium",10
"Sawai Mansingh Stadium, Jaipur",10
"Saurashtra Cricket Association Stadium",9
"MA Chidambaram Stadium",9
"Holkar Cricket Stadium",9
"Himachal Pradesh Cricket Association Stadium",9
"Zayed Cricket Stadium, Abu Dhabi",8
"New Wanderers Stadium",8
"St George's Park",7
"JSCA International Stadium Complex",7
"Barabati Stadium",7
Newlands,6
"Shaheed Veer Narayan Singh International Stadium",6
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",5
"Nehru Stadium",5
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",5
"Green Park",4
"Himachal Pradesh Cricket Association Stadium, Dharamsala",4
"Vidarbha Cricket Association Stadium, Jamtha",3
"De Beers Diamond Oval",3
"Buffalo Park",3
"Barsapara Cricket Stadium, Guwahati",3
"OUTsurance Oval",2
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2
